"strain" "sex" "age" "trans1st10min" "trans3rd5min" "bothcyl.1st10min" "nonsoc.3rd5min" "soc.3rd5min"
"191" "Balb/cJ" "Male" 71 55 10 19 7 47
"192" "Balb/cJ" "Female" 32 96 37 58 15 129
"193" "Balb/cJ" "Female" 32 94 19 36 14 59
"194" "Balb/cJ" "Male" 32 26 9 19 4 32
"195" "Balb/cJ" "Male" 32 99 30 66 17 90
"196" "Balb/cJ" "Female" 20 42 7 27 15 39
"197" "Balb/cJ" "Female" 20 18 4 4 3 7
"198" "Balb/cJ" "Male" 20 48 13 19 1 19
"199" "Balb/cJ" "Male" 71 63 18 49 14 84
"200" "Balb/cJ" "Male" 71 129 38 46 21 70
"201" "Balb/cJ" "Female" 71 185 39 55 37 154
"202" "Balb/cJ" "Female" 71 116 55 51 21 32
"203" "Balb/cJ" "Female" 43 1 0 0 0 1
"204" "Balb/cJ" "Female" 43 153 37 63 17 105
"205" "Balb/cJ" "Male" 43 145 20 71 8 278
"206" "Balb/cJ" "Male" 43 160 23 49 20 142
"207" "Balb/cJ" "Female" 43 54 10 29 5 61
"208" "Balb/cJ" "Female" 43 151 34 78 24 46
"209" "Balb/cJ" "Male" 43 67 31 48 9 106
"210" "Balb/cJ" "Male" 43 161 51 104 24 187
"211" "Balb/cJ" "Female" 32 48 15 0 2 22
"212" "Balb/cJ" "Female" 32 50 22 0 0 0
"213" "Balb/cJ" "Male" 32 119 31 14 18 17
"214" "Balb/cJ" "Male" 32 56 15 1 0 0
"215" "Balb/cJ" "Female" 32 97 6 25 6 24
"216" "Balb/cJ" "Female" 32 49 12 17 0 79
"217" "Balb/cJ" "Male" 32 47 9 13 6 42
"218" "Balb/cJ" "Male" 32 78 6 54 13 30
"219" "Balb/cJ" "Female" 24 71 1 51 0 46
"220" "Balb/cJ" "Female" 24 47 14 26 4 0
"221" "Balb/cJ" "Male" 24 63 4 18 4 156
"222" "Balb/cJ" "Male" 24 62 18 30 10 52
"223" "Balb/cJ" "Female" 32 19 5 3 3 5
"224" "Balb/cJ" "Female" 32 85 23 34 14 72
"225" "Balb/cJ" "Male" 32 100 25 13 12 9
"226" "Balb/cJ" "Male" 32 106 21 24 17 118
"227" "Balb/cJ" "Female" 32 103 21 14 21 100
"228" "Balb/cJ" "Female" 32 28 1 10 0 21
"229" "Balb/cJ" "Female" 32 31 9 18 7 43
"230" "Balb/cJ" "Female" 32 99 14 23 17 96
"231" "Balb/cJ" "Male" 32 150 27 63 1 173
"232" "Balb/cJ" "Male" 32 4 1 2 1 6
"233" "Balb/cJ" "Female" 24 53 6 12 6 97
"234" "Balb/cJ" "Female" 24 33 6 9 12 7
"235" "Balb/cJ" "Male" 24 62 7 7 20 128
"236" "Balb/cJ" "Male" 24 49 13 22 6 93
"237" "Balb/cJ" "Female" 24 63 11 18 8 79
"238" "Balb/cJ" "Female" 24 22 3 4 0 35
"239" "Balb/cJ" "Male" 24 42 5 25 5 21
"240" "Balb/cJ" "Male" 24 61 13 8 4 53
"241" "Balb/cJ" "Female" 20 8 4 1 1 8
"242" "Balb/cJ" "Female" 20 127 0 32 0 2
"243" "Balb/cJ" "Female" 20 81 11 4 0 34
"244" "Balb/cJ" "Female" 20 113 13 39 13 69
"245" "Balb/cJ" "Male" 20 71 12 24 2 36
"246" "Balb/cJ" "Male" 20 10 0 3 0 6
"247" "Balb/cJ" "Female" 32 96 12 30 10 100
"248" "Balb/cJ" "Female" 32 80 23 5 5 3
"249" "Balb/cJ" "Male" 32 55 12 3 11 2
"250" "Balb/cJ" "Male" 32 89 13 15 4 0
"251" "Balb/cJ" "Female" 20 59 4 11 0 117
"252" "Balb/cJ" "Female" 20 53 4 10 0 0
"253" "Balb/cJ" "Male" 20 50 2 21 0 28
"254" "Balb/cJ" "Male" 20 25 0 3 0 0
"255" "Balb/cJ" "Female" 32 115 31 25 7 50
"256" "Balb/cJ" "Female" 32 13 2 4 0 0
"257" "Balb/cJ" "Male" 32 135 47 25 8 55
"258" "Balb/cJ" "Female" 32 107 22 61 5 0
"259" "Balb/cJ" "Female" 32 87 10 26 0 19
"260" "Balb/cJ" "Male" 32 124 29 49 15 97
"261" "Balb/cJ" "Male" 32 86 18 32 10 41
"262" "Balb/cJ" "Female" 32 56 14 24 1 33
"263" "Balb/cJ" "Female" 32 63 18 23 16 72
"264" "Balb/cJ" "Male" 32 93 30 23 11 93
"265" "Balb/cJ" "Male" 32 49 5 19 0 0
"266" "Balb/cJ" "Female" 32 44 20 25 1 25
"267" "Balb/cJ" "Female" 32 104 19 57 7 147
"268" "Balb/cJ" "Female" 32 82 17 39 6 123
"269" "Balb/cJ" "Female" 32 80 21 33 5 80
"270" "Balb/cJ" "Female" 32 87 30 30 16 116
"271" "Balb/cJ" "Female" 32 49 8 33 0 106
"272" "Balb/cJ" "Male" 32 27 7 11 7 31
"273" "Balb/cJ" "Female" 32 99 18 35 5 118
"274" "Balb/cJ" "Female" 32 116 22 60 17 101
"275" "Balb/cJ" "Male" 32 109 27 31 8 96
"276" "Balb/cJ" "Male" 32 77 24 20 4 85
